ensg	name
ENSMUSG00000055067	Smyd3
ENSMUSG00000026234	Ncl
ENSMUSG00000057236	Rbbp4
ENSMUSG00000029920	Smarcad1
ENSMUSG00000037369	Kdm6a
ENSMUSG00000034832	Tet3
ENSMUSG00000043050	Tnp2
ENSMUSG00000004880	Lbr
ENSMUSG00000029265	Dr1
ENSMUSG00000022672	Prkdc
ENSMUSG00000059119	Nap1l4
ENSMUSG00000042207	Kdm5b
ENSMUSG00000028053	Ash1l
ENSMUSG00000003868	Ruvbl2
ENSMUSG00000033732	Sf3b3
ENSMUSG00000038205	Prkab2
ENSMUSG00000031310	Zmym3
ENSMUSG00000005204	Senp3
ENSMUSG00000025332	Kdm5c
ENSMUSG00000000085	Scmh1
ENSMUSG00000036023	Parp2
ENSMUSG00000021264	Yy1
ENSMUSG00000020232	Hmg20b
ENSMUSG00000033623	Pcgf3
ENSMUSG00000028309	Rnf20
ENSMUSG00000071226	Cecr2
ENSMUSG00000026283	Ing5
ENSMUSG00000052293	Taf9
ENSMUSG00000044595	Dnd1
ENSMUSG00000026222	Sp100
ENSMUSG00000029167	Ppargc1a
ENSMUSG00000025369	Smarcc2
ENSMUSG00000002227	Mov10
ENSMUSG00000070031	Sp140
ENSMUSG00000044791	Setd2
ENSMUSG00000020230	Prmt2
ENSMUSG00000007880	Arid1a
ENSMUSG00000062270	Morf4l1
ENSMUSG00000005566	Trim28
ENSMUSG00000024817	Uhrf2
ENSMUSG00000024513	Mbd2
ENSMUSG00000050697	Prkaa1
ENSMUSG00000071172	Srsf3
ENSMUSG00000069089	Cdk7
ENSMUSG00000034290	Nek9
ENSMUSG00000030232	Aebp2
ENSMUSG00000035403	Crb2
ENSMUSG00000027671	Actl6a
ENSMUSG00000070837	Aurkc
ENSMUSG00000036086	Zranb3
ENSMUSG00000031660	Brd7
ENSMUSG00000028796	Phc2
ENSMUSG00000052812	Atad2b
ENSMUSG00000029913	Prdm5
ENSMUSG00000022536	Glyr1
ENSMUSG00000029014	Dnajc2
ENSMUSG00000051316	Taf7
ENSMUSG00000026429	Ube2t
ENSMUSG00000041912	Tdrkh
ENSMUSG00000031622	Sin3b
ENSMUSG00000037486	Asxl2
ENSMUSG00000032249	Anp32a
ENSMUSG00000032897	Nfyc
ENSMUSG00000039473	Ubn1
ENSMUSG00000002221	Paxip1
ENSMUSG00000034269	Setd5
ENSMUSG00000005982	Naa60
ENSMUSG00000031540	Kat6a
ENSMUSG00000025409	Mbd6
ENSMUSG00000078773	Rad54b
ENSMUSG00000028484	Psip1
ENSMUSG00000034271	Jdp2
ENSMUSG00000034771	Tle2
ENSMUSG00000109941	Exosc6
ENSMUSG00000035517	Tdrd7
ENSMUSG00000040943	Tet2
ENSMUSG00000015312	Gadd45b
ENSMUSG00000069678	Pcgf1
ENSMUSG00000064061	Dzip3
ENSMUSG00000018909	Arrb1
ENSMUSG00000015749	Anp32e
ENSMUSG00000022475	Hdac7
ENSMUSG00000028886	Eya3
ENSMUSG00000033326	Kdm4a
ENSMUSG00000026749	Nek6
ENSMUSG00000031095	Cul4b
ENSMUSG00000052595	A1cf
ENSMUSG00000090115	Usp49
ENSMUSG00000006335	Tfpt
ENSMUSG00000053134	Supt7l
ENSMUSG00000032423	Syncrip
ENSMUSG00000021115	Vrk1
ENSMUSG00000029629	Phf14
ENSMUSG00000007415	Gatad1
ENSMUSG00000049225	Pdp1
ENSMUSG00000031671	Setd6
ENSMUSG00000040661	Rad54l2
ENSMUSG00000021738	Atxn7
ENSMUSG00000035960	Apex1
ENSMUSG00000063663	Brwd3
ENSMUSG00000025982	Sf3b1
ENSMUSG00000047777	Phf13
ENSMUSG00000002428	Hltf
ENSMUSG00000061286	Exosc5
ENSMUSG00000013787	Ehmt2
ENSMUSG00000030822	Prr14
ENSMUSG00000021180	Rps6ka5
ENSMUSG00000037315	Jade3
ENSMUSG00000031353	Rbbp7
ENSMUSG00000078796	Zfp541
ENSMUSG00000031314	Taf1
ENSMUSG00000008373	Prpf31
ENSMUSG00000090112	Shprh
ENSMUSG00000026987	Baz2b
ENSMUSG00000028397	Kdm4c
ENSMUSG00000041997	Tlk1
ENSMUSG00000021911	Parg
ENSMUSG00000021326	Trim27
ENSMUSG00000021377	Dek
ENSMUSG00000038080	Kdm1b
ENSMUSG00000024947	Men1
ENSMUSG00000036390	Gadd45a
ENSMUSG00000031245	Hmgn5
ENSMUSG00000030034	Ino80b
ENSMUSG00000053914	Kdm4d
ENSMUSG00000037111	Setd7
ENSMUSG00000062115	Rai1
ENSMUSG00000028899	Taf12
ENSMUSG00000028693	Nasp
ENSMUSG00000042423	Fbrs
ENSMUSG00000074781	Ube2n
ENSMUSG00000090083	Rnf8
ENSMUSG00000053877	Srcap
ENSMUSG00000026484	Rnf2
ENSMUSG00000034160	Ogt
ENSMUSG00000042390	Gatad2b
ENSMUSG00000057113	Npm1
ENSMUSG00000055116	Arntl
ENSMUSG00000056770	Setd3
ENSMUSG00000038151	Prdm1
ENSMUSG00000043073	Usp17le
ENSMUSG00000003308	Keap1
ENSMUSG00000022702	Hira
ENSMUSG00000056673	Kdm5d
ENSMUSG00000024231	Cul2
ENSMUSG00000036912	Piwil4
ENSMUSG00000041712	Ubr7
ENSMUSG00000028431	Ikbkap
ENSMUSG00000029833	Trim24
ENSMUSG00000035623	Rsf1
ENSMUSG00000025439	Clns1a
ENSMUSG00000028759	Hp1bp3
ENSMUSG00000031575	Ash2l
ENSMUSG00000063049	Ing2
ENSMUSG00000039354	Smarcal1
ENSMUSG00000020063	Sirt1
ENSMUSG00000002028	Kmt2a
ENSMUSG00000039068	Zzz3
ENSMUSG00000036036	Zfp57
ENSMUSG00000022676	Snai2
ENSMUSG00000089715	Cbx6
ENSMUSG00000035367	Rmi1
ENSMUSG00000044167	Foxo1
ENSMUSG00000056608	Chd9
ENSMUSG00000034748	Sirt6
ENSMUSG00000024561	Mbd1
ENSMUSG00000001632	Brpf1
ENSMUSG00000023991	Foxp4
ENSMUSG00000069729	Arid1b
ENSMUSG00000061589	Dot1l
ENSMUSG00000028896	Rcc1
ENSMUSG00000021221	Dpf3
ENSMUSG00000010461	Eya4
ENSMUSG00000078578	Ube2d3
ENSMUSG00000028518	Prkaa2
ENSMUSG00000000561	Wdr77
ENSMUSG00000010453	Kansl3
ENSMUSG00000030619	Eed
ENSMUSG00000028394	Pole3
ENSMUSG00000027630	Tbl1xr1
ENSMUSG00000034218	Atm
ENSMUSG00000028800	Hdac1
ENSMUSG00000021767	Kat6b
ENSMUSG00000025616	Usp16
ENSMUSG00000021901	Bap1
ENSMUSG00000026740	Dnajc1
ENSMUSG00000039521	Foxp3
ENSMUSG00000026743	Mllt10
ENSMUSG00000026077	Npas2
ENSMUSG00000012076	Brms1l
ENSMUSG00000022914	Brwd1
ENSMUSG00000019948	Actr6
ENSMUSG00000032577	Mapkapk3
ENSMUSG00000026918	Brd3
ENSMUSG00000066415	Msl2
ENSMUSG00000031161	Hdac6
ENSMUSG00000068457	Uty
ENSMUSG00000021028	Mbip
ENSMUSG00000032409	Atr
ENSMUSG00000015971	Actr8
ENSMUSG00000026313	Hdac4
ENSMUSG00000025330	Padi4
ENSMUSG00000054051	Ercc6
ENSMUSG00000032329	Hmg20a
ENSMUSG00000025328	Padi3
ENSMUSG00000032185	Carm1
ENSMUSG00000029670	Ing3
ENSMUSG00000025329	Padi1
ENSMUSG00000037876	Jmjd1c
ENSMUSG00000020387	Jade2
ENSMUSG00000031446	Cul4a
ENSMUSG00000026917	Wdr5
ENSMUSG00000003680	Taf6l
ENSMUSG00000026779	Mastl
ENSMUSG00000057469	E2f6
ENSMUSG00000047821	Trim16
ENSMUSG00000006307	Kmt2b
ENSMUSG00000063952	Brpf3
ENSMUSG00000021144	Mta1
ENSMUSG00000037896	Rcor1
ENSMUSG00000042185	Nfrkb
ENSMUSG00000023249	Parp3
ENSMUSG00000004364	Cul3
ENSMUSG00000047989	Ino80c
ENSMUSG00000004897	Hdgf
ENSMUSG00000044770	Scml4
ENSMUSG00000031393	Mecp2
ENSMUSG00000029267	Mtf2
ENSMUSG00000008305	Tle1
ENSMUSG00000057649	Brd9
ENSMUSG00000032376	Usp3
ENSMUSG00000028089	Chd1l
ENSMUSG00000031715	Smarca5
ENSMUSG00000004263	Atn1
ENSMUSG00000030678	Maz
ENSMUSG00000023977	Ubr2
