ensg	enst	name
ENSMUSG00000052593	ENSMUST00000064536	Adam17
ENSMUSG00000051457	ENSMUST00000049931	Spn
ENSMUSG00000047953	ENSMUST00000061190	Gp5
ENSMUSG00000057439	ENSMUST00000072125	Kir3dl2
ENSMUSG00000058728	ENSMUST00000061637	Cd300c
ENSMUSG00000038304	ENSMUST00000047702	Cd160
ENSMUSG00000040522	ENSMUST00000049023	Tlr8
ENSMUSG00000040249	ENSMUST00000049149	Lrp1
ENSMUSG00000045322	ENSMUST00000062241	Tlr9
ENSMUSG00000008789	ENSMUST00000081907	Ceacam5
ENSMUSG00000046186	ENSMUST00000093812	Cd109
ENSMUSG00000059305	ENSMUST00000075017	Vpreb1
ENSMUSG00000002944	ENSMUST00000082367	Cd36
ENSMUSG00000037405	ENSMUST00000086399	Icam1
ENSMUSG00000058254	ENSMUST00000076354	Tspan7
ENSMUSG00000041247	ENSMUST00000081880	Lamp3
ENSMUSG00000055447	ENSMUST00000084838	Cd47
ENSMUSG00000022901	ENSMUST00000089620	Cd86
ENSMUSG00000079037	ENSMUST00000091288	Prnp
ENSMUSG00000074272	ENSMUST00000098668	Ceacam1
ENSMUSG00000053062	ENSMUST00000098407	Jam2
ENSMUSG00000048163	ENSMUST00000100874	Selplg
ENSMUSG00000027435	ENSMUST00000099269	Cd93
ENSMUSG00000075370	ENSMUST00000100136	Igll1
ENSMUSG00000075122	ENSMUST00000099816	Cd80
ENSMUSG00000028412	ENSMUST00000107647	Slc44a1
ENSMUSG00000053228	ENSMUST00000108491	Ceacam3
ENSMUSG00000032093	ENSMUST00000102832	Cd3e
ENSMUSG00000027864	ENSMUST00000102694	Ptgfrn
ENSMUSG00000029082	ENSMUST00000101237	Bst1
ENSMUSG00000074743	ENSMUST00000099270	Thbd
ENSMUSG00000074785	ENSMUST00000099337	Plxnc1
ENSMUSG00000038179	ENSMUST00000111276	Slamf7
ENSMUSG00000039542	ENSMUST00000114476	Ncam1
ENSMUSG00000026395	ENSMUST00000112036	Ptprc
ENSMUSG00000025314	ENSMUST00000111495	Ptprj
ENSMUSG00000032011	ENSMUST00000114840	Thy1
ENSMUSG00000031424	ENSMUST00000113104	Kir3dl1
ENSMUSG00000048120	ENSMUST00000112231	Entpd1
ENSMUSG00000079299	ENSMUST00000112110	Klrb1
ENSMUSG00000016498	ENSMUST00000112576	Pdcd1lg2
ENSMUSG00000026580	ENSMUST00000160000	Selp
ENSMUSG00000024673	ENSMUST00000169159	Ms4a1
ENSMUSG00000090523	ENSMUST00000172434	Gypc
