ensg	ensp	name
ENSMUSG00000030598	ENSMUSP00000032818 	Fbxo17
ENSMUSG00000030685	ENSMUSP00000032924 	Kctd13
ENSMUSG00000030750	ENSMUSP00000033006 	Nsmce1
ENSMUSG00000030788	ENSMUSP00000033052 	Rnf141
ENSMUSG00000030811	ENSMUSP00000033081 	Fbxl19
ENSMUSG00000030816	ENSMUSP00000033088 	Rnf40
ENSMUSG00000057596	ENSMUSP00000033211 	Trim30d
ENSMUSG00000066258	ENSMUSP00000033213 	Trim12a
ENSMUSG00000030966	ENSMUSP00000033264 	Trim21
ENSMUSG00000030967	ENSMUSP00000033265 	Zranb1
ENSMUSG00000031029	ENSMUSP00000033342 	Eif3f
ENSMUSG00000031066	ENSMUSP00000033383 	Usp11
ENSMUSG00000031154	ENSMUSP00000033494 	Otud5
ENSMUSG00000031201	ENSMUSP00000033544 	Brcc3
ENSMUSG00000031204	ENSMUSP00000033549 	Asb12
ENSMUSG00000031382	ENSMUSP00000033755 	Asb11
ENSMUSG00000031384	ENSMUSP00000033756 	Asb9
ENSMUSG00000031519	ENSMUSP00000033918 	Asb5
ENSMUSG00000031605	ENSMUSP00000034017 	Klhl2
ENSMUSG00000031642	ENSMUSP00000034060 	Sh3rf1
ENSMUSG00000031811	ENSMUSP00000034268 	Fbxo31
ENSMUSG00000031828	ENSMUSP00000034287 	Klhl36
ENSMUSG00000031930	ENSMUSP00000034407 	Wwp2
ENSMUSG00000032010	ENSMUSP00000034508 	Usp2
ENSMUSG00000032030	ENSMUSP00000034529 	Cul5
ENSMUSG00000032127	ENSMUSP00000034644 	Vps11
ENSMUSG00000032217	ENSMUSP00000034739 	Rnf111
ENSMUSG00000032216	ENSMUSP00000034740 	Nedd4
ENSMUSG00000032267	ENSMUSP00000034805 	Usp28
ENSMUSG00000032309	ENSMUSP00000034859 	Fbxo22
ENSMUSG00000032451	ENSMUSP00000035026 	Trim42
ENSMUSG00000032507	ENSMUSP00000035090 	Fbxl2
ENSMUSG00000032596	ENSMUSP00000035216 	Uba7
ENSMUSG00000032612	ENSMUSP00000035237 	Usp4
ENSMUSG00000035509	ENSMUSP00000035248 	Fbxl21
ENSMUSG00000035898	ENSMUSP00000035328 	Uba6
ENSMUSG00000040298	ENSMUSP00000035433 	Btbd16
ENSMUSG00000033364	ENSMUSP00000035445 	Usp37
ENSMUSG00000032898	ENSMUSP00000035506 	Fbxo21
ENSMUSG00000033880	ENSMUSP00000035579 	Lgals3bp
ENSMUSG00000030451	ENSMUSP00000035719 	Herc2
ENSMUSG00000020042	ENSMUSP00000035917 	Btbd11
ENSMUSG00000035329	ENSMUSP00000035948 	Fbxo33
ENSMUSG00000042766	ENSMUSP00000036053 	Trim46
ENSMUSG00000034235	ENSMUSP00000036214 	Usp54
ENSMUSG00000037096	ENSMUSP00000036413 	Gm9762
ENSMUSG00000040746	ENSMUSP00000036472 	Rnf167
ENSMUSG00000040913	ENSMUSP00000036505 	Fbxw4
ENSMUSG00000038077	ENSMUSP00000036872 	Kcna6
ENSMUSG00000035469	ENSMUSP00000037030 	Rcbtb1
ENSMUSG00000040365	ENSMUSP00000037055 	Trim41
ENSMUSG00000040423	ENSMUSP00000037178 	Rc3h1
ENSMUSG00000038876	ENSMUSP00000037224 	Rnf146
ENSMUSG00000036964	ENSMUSP00000037248 	Trim17
ENSMUSG00000041556	ENSMUSP00000037377 	Fbxo2
ENSMUSG00000041633	ENSMUSP00000037539 	Kctd12b
ENSMUSG00000038206	ENSMUSP00000037544 	Fbxo8
ENSMUSG00000036492	ENSMUSP00000037860 	Rnf39
ENSMUSG00000042572	ENSMUSP00000037939 	Ube2q1
ENSMUSG00000042604	ENSMUSP00000037958 	Kcna4
ENSMUSG00000033949	ENSMUSP00000037978 	Trim36
