ensg	ensp	name
ENSG00000184182	ENSP00000272930 	UBE2F
ENSG00000144583	ENSP00000273067 	MARCH4
ENSG00000114125	ENSP00000273480 	RNF7
ENSG00000145332	ENSP00000273963 	KLHL8
ENSG00000145390	ENSP00000274030 	USP53
ENSG00000145416	ENSP00000274056 	MARCH1
ENSG00000145495	ENSP00000274140 	MARCH6
ENSG00000145604	ENSP00000274254 	SKP2
ENSG00000145604	ENSP00000274255 	SKP2
ENSG00000113595	ENSP00000274327 	TRIM23
ENSG00000145860	ENSP00000274542 	RNF145
ENSG00000146054	ENSP00000274773 	TRIM7
ENSG00000146083	ENSP00000274811 	RNF44
ENSG00000146373	ENSP00000275184 	RNF217
ENSG00000146414	ENSP00000275233 	SHPRH
ENSG00000243335	ENSP00000275532 	KCTD7
ENSG00000146809	ENSP00000275699 	ASB15
ENSG00000146833	ENSP00000275736 	TRIM4
ENSG00000146926	ENSP00000275838 	ASB10
ENSG00000147364	ENSP00000276326 	FBXO25
ENSG00000147573	ENSP00000276573 	TRIM55
ENSG00000147677	ENSP00000276682 	EIF3H
ENSG00000147854	ENSP00000276893 	UHRF2
ENSG00000147912	ENSP00000276960 	FBXO10
ENSG00000148331	ENSP00000277458 	ASB6
ENSG00000148411	ENSP00000277554 	NACC2
ENSG00000148634	ENSP00000277817 	HERC4
ENSG00000148925	ENSP00000278174 	BTBD10
ENSG00000121236	ENSP00000278302 	TRIM6
ENSG00000144228	ENSP00000280098 	SPOPL
ENSG00000135655	ENSP00000280377 	USP15
ENSG00000151079	ENSP00000280684 	KCNA6
ENSG00000151136	ENSP00000280758 	BTBD11
ENSG00000151876	ENSP00000281623 	FBXO4
ENSG00000109670	ENSP00000281708 	FBXW7
ENSG00000152193	ENSP00000282003 	RNF219
ENSG00000152484	ENSP00000282344 	USP12
ENSG00000152503	ENSP00000282369 	TRIM36
ENSG00000087338	ENSP00000282570 	GMCL1
ENSG00000153561	ENSP00000283632 	RMND5A
ENSG00000153827	ENSP00000283943 	TRIP12
ENSG00000153832	ENSP00000283946 	FBXO36
ENSG00000153885	ENSP00000284006 	KCTD15
ENSG00000154007	ENSP00000284142 	ASB17
ENSG00000154277	ENSP00000284440 	UCHL1
ENSG00000154370	ENSP00000284551 	TRIM11
ENSG00000154447	ENSP00000284637 	SH3RF1
ENSG00000239474	ENSP00000284669 	KBTBD10
ENSG00000154582	ENSP00000284811 	TCEB1
ENSG00000154710	ENSP00000284957 	RABGEF1
ENSG00000154914	ENSP00000285199 	USP43
ENSG00000155100	ENSP00000285420 	OTUD6B
ENSG00000155313	ENSP00000285679 	USP25
ENSG00000155313	ENSP00000285681 	USP25
ENSG00000155428	ENSP00000285805 	TRIM74
ENSG00000155890	ENSP00000286349 	TRIM42
ENSG00000156273	ENSP00000286800 	BACH1
ENSG00000156486	ENSP00000287042 	KCNS2
ENSG00000156587	ENSP00000287156 	UBE2L6
ENSG00000156639	ENSP00000287218 	ZFAND3
ENSG00000156831	ENSP00000287437 	NSMCE2
ENSG00000156931	ENSP00000287546 	VPS8
ENSG00000157119	ENSP00000287777 	KBTBD5
ENSG00000157450	ENSP00000288199 	RNF111
ENSG00000119771	ENSP00000288548 	KLHL29
ENSG00000157911	ENSP00000288774 	PEX10
ENSG00000143258	ENSP00000289865 	USP21
ENSG00000159461	ENSP00000290649 	AMFR
ENSG00000159459	ENSP00000290650 	UBR1
ENSG00000116525	ENSP00000291416 	TRIM62
ENSG00000160410	ENSP00000291842 	SHKBP1
ENSG00000160685	ENSP00000292176 	ZBTB7B
ENSG00000160714	ENSP00000292211 	UBE2Q1
ENSG00000070423	ENSP00000292363 	RNF126
ENSG00000160877	ENSP00000292431 	NACC1
ENSG00000161133	ENSP00000292729 	USP41
ENSG00000104835	ENSP00000292852 	SARS2
