name	ensp	Cytoplasm	Golgi apparatus	Plasma membrane	Lysosome	Endosome	Nucleus	Cytoskeleton	Mitochondrion
TRO	ENSP00000173898	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
MNT	ENSP00000174618	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0
TRPV1	ENSP00000174621	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
AP3M2	ENSP00000174653	5.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
LAPTM4A	ENSP00000175091	5.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
ADAM7	ENSP00000175238	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASNS	ENSP00000175506	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PTPN18	ENSP00000175756	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DRD4	ENSP00000176183	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
SCT	ENSP00000176195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
STK10	ENSP00000176763	3.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
TBX21	ENSP00000177694	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0
CA12	ENSP00000178638	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
MAP2K5	ENSP00000178640	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C12orf5	ENSP00000179259	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGF20	ENSP00000180166	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MTMR7	ENSP00000180173	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPB2	ENSP00000181383	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CDK13	ENSP00000181839	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0
TSPAN32	ENSP00000182290	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FAR2	ENSP00000182377	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TRAM2	ENSP00000182527	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CLDN18	ENSP00000183605	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
ROPN1	ENSP00000184183	4.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0
NDUFB4	ENSP00000184266	5.0	0.0	0.0	0.0	0.0	4.0	0.0	5.0
ERLEC1	ENSP00000185150	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CLIC5	ENSP00000185206	5.0	5.0	0.0	0.0	0.0	0.0	3.0	0.0
ASAH2B	ENSP00000185907	4.0	0.0	5.0	0.0	0.0	0.0	0.0	4.0
TMEM131	ENSP00000186436	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARPP21	ENSP00000187397	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TMEM38A	ENSP00000187762	5.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0
ACTR6	ENSP00000188312	3.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0
FAP	ENSP00000188790	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
NFKB2	ENSP00000189444	5.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0
DMRT3	ENSP00000190165	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DQ-A1	ENSP00000190839	5.0	4.0	3.0	5.0	5.0	0.0	0.0	0.0
WISP2	ENSP00000190983	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GAL3ST2	ENSP00000192314	5.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
OSTM1	ENSP00000193322	5.0	0.0	0.0	5.0	0.0	4.0	0.0	0.0
IMPG2	ENSP00000193391	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NAIP	ENSP00000194097	4.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
KIAA0141	ENSP00000194118	5.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0
SLC13A1	ENSP00000194130	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
PCDHB4	ENSP00000194152	4.0	0.0	5.0	0.0	0.0	0.0	4.0	0.0
PCDHB2	ENSP00000194155	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
HSPB11	ENSP00000194214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
STRADB	ENSP00000194530	5.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0
COBLL1	ENSP00000194871	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
XPO1	ENSP00000195419	5.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0
SNAP91	ENSP00000195649	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PLOD1	ENSP00000196061	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TDRD3	ENSP00000196169	5.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0
OXCT1	ENSP00000196371	5.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0
ZNF324	ENSP00000196482	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0
ZNF416	ENSP00000196489	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0
ZNF8	ENSP00000196548	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0
RPS5	ENSP00000196551	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KIAA1467	ENSP00000197268	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PILRA	ENSP00000198536	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
CPNE3	ENSP00000198765	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RRN3	ENSP00000198767	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0
MOGAT2	ENSP00000198801	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHERP	ENSP00000198939	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AQP2	ENSP00000199280	5.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
DIMT1L	ENSP00000199320	4.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0
EIF2AK1	ENSP00000199389	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TXNDC3	ENSP00000199447	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EPDR1	ENSP00000199448	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MRPL28	ENSP00000199706	5.0	0.0	0.0	0.0	0.0	4.0	0.0	5.0
HBQ1	ENSP00000199708	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CEACAM6	ENSP00000199764	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
RBM22	ENSP00000199814	5.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0
HSD17B2	ENSP00000199936	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
